child_canonical_name,child_funder_id,child_ror,child_types,child_articles,parent_canonical_name,parent_funder_id,parent_ror
Division of Computing and Communication Foundations,F4320337387,01mng8331,funder|government,25,National Science Foundation,F4320306076,021nxhr62
Directorate for Education and Human Resources,F4320332168,014bj5w56,funder|government,18,National Science Foundation,F4320306076,021nxhr62
Division of Arctic Sciences,F4320338275,02trddg58,funder|government,16,National Science Foundation,F4320306076,021nxhr62
Division of Computer and Network Systems,F4320337388,02rdzmk74,funder|government,16,National Science Foundation,F4320306076,021nxhr62
Division of Social and Economic Sciences,F4320337366,02dz2hb46,funder|government,12,National Science Foundation,F4320306076,021nxhr62
National Center for Atmospheric Research,F4320308377,05cvfcr44,facility|funder,10,National Science Foundation,F4320306076,021nxhr62
Division of Advanced Cyberinfrastructure,F4320337563,04nh1dc89,funder|government,7,National Science Foundation,F4320306076,021nxhr62
Division of Astronomical Sciences,F4320337404,04mg8wm74,funder|government,7,National Science Foundation,F4320306076,021nxhr62
SBE Office of Multidisciplinary Activities,F4320337457,02a65dj82,funder|government,7,National Science Foundation,F4320306076,021nxhr62
"Center for Selective C-H Functionalization, National Science Foundation",F4320309085,02h8v7m77,facility|funder,6,National Science Foundation,F4320306076,021nxhr62
Division of Antarctic Sciences,F4320338274,05fnzca26,funder|government,6,National Science Foundation,F4320306076,021nxhr62
Office of Multidisciplinary Activities,F4320337471,01sharn77,funder|government,6,National Science Foundation,F4320306076,021nxhr62
American Institute of Mathematics,F4320307521,02a0fwv66,funder|nonprofit,5,National Science Foundation,F4320306076,021nxhr62
Division of Polar Programs,F4320337559,05nwjp114,funder|government,5,National Science Foundation,F4320306076,021nxhr62
Division of Research on Learning in Formal and Informal Settings,F4320337409,05s7cqk18,funder|government,5,National Science Foundation,F4320306076,021nxhr62
National Science Board,F4320332265,00apvva27,funder|government,5,National Science Foundation,F4320306076,021nxhr62
Division of Industrial Innovation and Partnerships,F4320337396,03xyg3m20,funder|government,4,National Science Foundation,F4320306076,021nxhr62
Center for Enabling New Technologies Through Catalysis,F4320310884,033zy4a51,facility|funder,3,National Science Foundation,F4320306076,021nxhr62
National Center for Science and Engineering Statistics,F4320337406,0445wmv88,funder|government,2,National Science Foundation,F4320306076,021nxhr62
National Institute for Mathematical and Biological Synthesis,F4320310889,04vj69e88,facility|funder,2,National Science Foundation,F4320306076,021nxhr62
Division of Grants and Agreements,F4320337436,014eweh95,funder|government,1,National Science Foundation,F4320306076,021nxhr62
Division of Human Resource Management,F4320337438,04vw0kz07,funder|government,1,National Science Foundation,F4320306076,021nxhr62
Division of Institution and Award Support,F4320337437,025dabr11,funder|government,1,National Science Foundation,F4320306076,021nxhr62
National Institute of Food and Agriculture,F4320332299,05qx3fv49,funder|government,2233,U.S. Department of Agriculture,F4320306114,01na82s61
Agricultural Research Service,F4320332605,02d2m2044,funder|government,993,U.S. Department of Agriculture,F4320306114,01na82s61
U.S. Forest Service,F4320332478,03zmjc935,funder|government,282,U.S. Department of Agriculture,F4320306114,01na82s61
Animal and Plant Health Inspection Service,F4320332778,0599wfz09,funder|government,173,U.S. Department of Agriculture,F4320306114,01na82s61
Agricultural Marketing Service,F4320332300,01xx4fy37,funder|government,27,U.S. Department of Agriculture,F4320306114,01na82s61
Natural Resources Conservation Service,F4320332782,03j7rgg33,funder|government,26,U.S. Department of Agriculture,F4320306114,01na82s61
Rocky Mountain Research Station,F4320337818,04347cr60,funder|government,22,U.S. Department of Agriculture,F4320306114,01na82s61
"Cooperative State Research, Education, and Extension Service",F4320332483,01na82s61,funder|government,13,U.S. Department of Agriculture,F4320306114,01na82s61
Economic Research Service,F4320332786,05ycxzd89,funder|government,13,U.S. Department of Agriculture,F4320306114,01na82s61
Northeast SARE,F4320308935,01na82s61,funder|government,11,U.S. Department of Agriculture,F4320306114,01na82s61
Foreign Agricultural Service,F4320332781,00t77bz53,funder|government,10,U.S. Department of Agriculture,F4320306114,01na82s61
Joint Fire Science Program,F4320315660,03ccbtk93,funder|government,8,U.S. Department of Agriculture,F4320306114,01na82s61
