canonical_name,variant,variant_type,country,parent_funder,variant_count,merged_count,selection_method,discovery_method,funder_type,openalex_id,openalex_name,openalex_country,openalex_works_count,validation_status
National Science Foundation,US National Science Foundation,alias,USA,,217,46521,weibull_2.0x+openalex,ner_pipeline,government,F4320306076,National Science Foundation,US,914135.0,explicit_alias
National Science Foundation,Iran National Science Foundation,fuzzy,USA,,167,46521,weibull_2.0x+openalex,ner_pipeline,government,F4320306076,National Science Foundation,US,914135.0,explicit_alias
National Science Foundation,and National Science Foundation,fuzzy,USA,,116,46521,weibull_2.0x+openalex,ner_pipeline,government,F4320306076,National Science Foundation,US,914135.0,explicit_alias
National Science Foundation,National Sciences Foundation,fuzzy,USA,,56,46521,weibull_2.0x+openalex,ner_pipeline,government,F4320306076,National Science Foundation,US,914135.0,explicit_alias
National Science Foundation,National Scientific Foundation,fuzzy,USA,,34,46521,weibull_2.0x+openalex,ner_pipeline,government,F4320306076,National Science Foundation,US,914135.0,explicit_alias
European Research Council,European Research Council,primary,EU,European Commission,15744,25916,weibull_2.0x+openalex,ner_pipeline,supranational,F4320334678,European Research Council,,71253.0,explicit_alias
European Research Council,ERC,acronym,EU,European Commission,9920,25916,weibull_2.0x+openalex,ner_pipeline,supranational,F4320334678,European Research Council,,71253.0,explicit_alias
European Research Council,a European Research Council,fuzzy,EU,European Commission,206,25916,weibull_2.0x+openalex,ner_pipeline,supranational,F4320334678,European Research Council,,71253.0,explicit_alias
European Research Council,an European Research Council,fuzzy,EU,European Commission,23,25916,weibull_2.0x+openalex,ner_pipeline,supranational,F4320334678,European Research Council,,71253.0,explicit_alias
European Research Council,and European Research Council,fuzzy,EU,European Commission,23,25916,weibull_2.0x+openalex,ner_pipeline,supranational,F4320334678,European Research Council,,71253.0,explicit_alias
Medical Research Council,Medical Research Council,primary,UK,UK Research and Innovation,16958,24580,weibull_2.0x+openalex,ner_pipeline,government,F4320334626,Medical Research Council,GB,92054.0,explicit_alias
Medical Research Council,MRC,acronym,UK,UK Research and Innovation,6955,24580,weibull_2.0x+openalex,ner_pipeline,government,F4320334626,Medical Research Council,GB,92054.0,explicit_alias
