journal,total_articles,open_data_articles,open_code_articles,pdf_covered,pdf_covered_od,xml_only,xml_only_od,open_data_pct,open_code_pct,corrected_od,ci_lo,ci_hi,corrected_pct,ci_lo_pct,ci_hi_pct
PLOS Global Public Health,1405,177.0,49.0,703.0,153.0,702.0,24.0,12.6,3.5,306.0,285.6691804593732,328.48608157108805,21.8,20.332326,23.379792
BMC Cancer,2277,287.0,110.0,2277.0,287.0,0.0,0.0,12.6,4.8,287.0,,,12.6,,
Respiratory Research,572,72.0,28.0,572.0,72.0,0.0,0.0,12.6,4.9,72.0,,,12.6,,
Addiction Biology,112,14.0,9.0,75.0,12.0,37.0,2.0,12.5,8.0,17.92,15.476675889796487,21.589258845165766,16.0,13.818461,19.276124
Biofilm,104,13.0,4.0,0.0,0.0,104.0,13.0,12.5,3.8,16.48234637762015,16.374824435365827,16.590440666876233,15.8,15.745023,15.952347
Molecular Neurobiology,184,23.0,10.0,184.0,23.0,0.0,0.0,12.5,5.4,23.0,,,12.5,,
Infection and Immunity,120,15.0,6.0,2.0,1.0,118.0,14.0,12.5,5.0,19.701123774607478,19.579127724741994,19.823769218186495,16.4,16.31594,16.519808
GeoHealth,113,14.0,18.0,58.0,13.0,55.0,1.0,12.4,15.9,25.32758620689655,20.47644333307936,32.06374967615714,22.4,18.120746,28.375
Biophysical Journal,113,14.0,21.0,15.0,2.0,98.0,12.0,12.4,18.6,17.531441778911294,17.430123025633183,17.633299859171835,15.5,15.424888,15.60469
ACS Infectious Diseases,129,16.0,3.0,20.0,2.0,109.0,14.0,12.4,2.3,19.274766876544195,19.16207561014303,19.3880580066299,14.9,14.854322,15.029502
Arthritis Research & Therapy,324,40.0,19.0,324.0,40.0,0.0,0.0,12.3,5.9,40.0,,,12.3,,
ACS Synthetic Biology,146,18.0,15.0,16.0,2.0,130.0,16.0,12.3,10.3,22.602932972025187,22.468530544207283,22.738050833595292,15.5,15.389404,15.574007
Acta Pharmaceutica Sinica B,328,40.0,5.0,0.0,0.0,328.0,40.0,12.2,1.5,51.98278472941739,51.64367706538453,52.323697487840434,15.8,15.745023,15.952347
Royal Society Open Science,916,112.0,103.0,0.0,0.0,916.0,112.0,12.2,11.2,145.17143540288515,144.2244152191836,146.12349664287146,15.8,15.745023,15.952347
npj Digital Medicine,585,71.0,231.0,585.0,71.0,0.0,0.0,12.1,39.5,71.0,,,12.1,,
Environmental Science and Ecotechnology,116,14.0,2.0,0.0,0.0,116.0,14.0,12.1,1.7,18.38415557503786,18.264227254831113,18.50472228228503,15.8,15.745023,15.952347
Chemical Communications,381,46.0,3.0,336.0,32.0,45.0,14.0,12.1,0.8,46.0,,,12.1,,
Infection,191,23.0,8.0,191.0,23.0,0.0,0.0,12.0,4.2,23.0,,,12.0,,
Journal of Clinical Immunology,108,13.0,6.0,108.0,13.0,0.0,0.0,12.0,5.6,13.0,,,12.0,,
Biochemistry,125,15.0,4.0,12.0,5.0,113.0,10.0,12.0,3.2,22.908703275683433,22.79187654996479,23.02615187843283,18.3,18.233501,18.420922
Epidemiology and Infection,209,25.0,12.0,116.0,16.0,93.0,9.0,12.0,5.7,28.93913043478261,25.0,35.911560092241096,13.8,11.961722,17.182565
Journal of Ovarian Research,316,38.0,12.0,316.0,38.0,0.0,0.0,12.0,3.8,38.0,,,12.0,,
BMC Pulmonary Medicine,822,99.0,17.0,822.0,99.0,0.0,0.0,12.0,2.1,99.0,,,12.0,,
Archives of Toxicology,151,18.0,9.0,151.0,18.0,0.0,0.0,11.9,6.0,18.0,,,11.9,,
Journal of Behavioral Addictions,102,12.0,8.0,0.0,0.0,102.0,12.0,11.8,7.8,16.16537817805053,16.059923965454946,16.27139373097477,15.8,15.745023,15.952347
The Journal of Experimental Medicine,197,23.0,15.0,7.0,2.0,190.0,21.0,11.7,7.6,32.111978959113735,31.91554464153372,32.30945891063928,16.3,16.200784,16.400741
Poultry Science,1824,214.0,27.0,74.0,13.0,1750.0,201.0,11.7,1.5,320.43243243243245,214.0,499.0135838134697,17.6,11.732456,27.358201
Aging Clinical and Experimental Research,341,40.0,8.0,341.0,40.0,0.0,0.0,11.7,2.3,40.0,,,11.7,,
Journal of Biological Engineering,112,13.0,3.0,112.0,13.0,0.0,0.0,11.6,2.7,13.0,,,11.6,,
Antibiotics,1407,163.0,11.0,792.0,123.0,615.0,40.0,11.6,0.8,218.51136363636363,204.02487350011063,235.04443074334685,15.5,14.500702,16.705361
Reproductive Biology and Endocrinology,182,21.0,4.0,182.0,21.0,0.0,0.0,11.5,2.2,21.0,,,11.5,,
Infectious Diseases and Therapy,202,23.0,2.0,202.0,23.0,0.0,0.0,11.4,1.0,23.0,,,11.4,,
MedComm,376,43.0,12.0,203.0,34.0,173.0,9.0,11.4,3.2,62.97536945812808,55.175368459580966,72.91214198319263,16.7,14.6743,19.391527
PeerJ,2512,286.0,108.0,74.0,23.0,2438.0,263.0,11.4,4.3,780.7567567567568,551.8190612928255,1055.2205473483123,31.1,21.967319,42.007187
Journal of Advanced Research,167,19.0,5.0,0.0,0.0,167.0,19.0,11.4,3.0,26.466844664063125,26.294189237558587,26.640419147772416,15.8,15.745023,15.952347
Archives of Public Health,352,40.0,3.0,352.0,40.0,0.0,0.0,11.4,0.9,40.0,,,11.4,,
Biology,1357,155.0,17.0,764.0,113.0,593.0,42.0,11.4,1.3,200.27463863337715,186.399271196673,216.2517749807316,14.8,13.736129,15.936019
Angewandte Chemie International Edition,785,89.0,9.0,548.0,78.0,237.0,11.0,11.3,1.1,120.95625,111.86828675343189,131.83650225452755,15.4,14.250737,16.794459
Lab on a Chip,150,17.0,11.0,117.0,11.0,33.0,6.0,11.3,7.3,17.0,,,11.3,,
EFSA Journal,594,67.0,5.0,298.0,44.0,296.0,23.0,11.3,0.8,87.85185185185185,77.22504857048023,101.13849689663601,14.8,13.00085,17.026683
Biomolecules and Biomedicine,169,19.0,1.0,87.0,15.0,82.0,4.0,11.2,0.6,29.531645569620252,23.905468919072995,37.61264758278114,17.5,14.145248,22.256004
Marine Drugs,623,69.0,1.0,370.0,38.0,253.0,31.0,11.1,0.2,69.0,69.0,72.9628426415664,11.1,11.075441,11.711532
Frontiers in Cellular Neuroscience,325,36.0,8.0,217.0,32.0,108.0,4.0,11.1,2.5,47.92626728110599,43.494758789218594,53.68238174952049,14.7,13.383003,16.517656
European journal of medical research,926,103.0,24.0,926.0,103.0,0.0,0.0,11.1,2.6,103.0,,,11.1,,
Molecular Medicine,445,49.0,9.0,445.0,49.0,0.0,0.0,11.0,2.0,49.0,,,11.0,,
Journal of Epidemiology and Global Health,182,20.0,2.0,182.0,20.0,0.0,0.0,11.0,1.1,20.0,,,11.0,,
BMC Rheumatology,127,14.0,13.0,127.0,14.0,0.0,0.0,11.0,10.2,14.0,,,11.0,,
BMC Medical Research Methodology,418,46.0,122.0,418.0,46.0,0.0,0.0,11.0,29.2,46.0,,,11.0,,
Frontiers in Bioscience-Landmark,263,29.0,7.0,261.0,29.0,2.0,0.0,11.0,2.7,29.31696819956962,29.31490046991088,29.319046935901465,11.1,11.14635,11.147927
Implementation Science Communications,181,20.0,3.0,181.0,20.0,0.0,0.0,11.0,1.7,20.0,,,11.0,,
BMC Medical Informatics and Decision Making,564,62.0,82.0,564.0,62.0,0.0,0.0,11.0,14.5,62.0,,,11.0,,
PLOS Digital Health,339,37.0,57.0,132.0,33.0,207.0,4.0,10.9,16.8,84.75,71.06923024082202,101.35774941783922,25.0,20.964375,29.899041
Environmental Management,102,11.0,11.0,102.0,11.0,0.0,0.0,10.8,10.8,11.0,,,10.8,,
Biochemistry and Biophysics Reports,388,42.0,4.0,1.0,0.0,387.0,42.0,10.8,1.0,61.33334661672113,60.93324092775553,61.735582096933676,15.8,15.704444,15.911232
BJC Reports,102,11.0,4.0,102.0,11.0,0.0,0.0,10.8,3.9,11.0,,,10.8,,
EMBO Molecular Medicine,196,21.0,16.0,4.0,2.0,192.0,19.0,10.7,8.2,32.42894715868335,32.2304451114446,32.62850584654074,16.5,16.444105,16.647197
Journal of Veterinary Medical Science,272,29.0,1.0,34.0,4.0,238.0,25.0,10.7,0.4,41.71921574878457,41.47315591939487,41.96658537227446,15.3,15.247484,15.428892
Molecular Brain,132,14.0,5.0,132.0,14.0,0.0,0.0,10.6,3.8,14.0,,,10.6,,
BMC Cardiovascular Disorders,1029,109.0,17.0,1029.0,109.0,0.0,0.0,10.6,1.7,109.0,,,10.6,,
Journal of Virology,480,51.0,22.0,13.0,6.0,467.0,45.0,10.6,4.6,80.01207459950587,79.52925972419078,80.49745953299232,16.7,16.568596,16.770304
Cancer Immunology Immunotherapy,456,48.0,17.0,456.0,48.0,0.0,0.0,10.5,3.7,48.0,,,10.5,,
European journal of psychotraumatology,324,34.0,17.0,123.0,22.0,201.0,12.0,10.5,5.2,57.951219512195124,46.358725259550944,73.45363913824914,17.9,14.308249,22.670876
Frontiers in Pharmacology,3697,387.0,70.0,2371.0,338.0,1326.0,49.0,10.5,1.9,527.1088607594936,509.20713601015734,546.5443864166128,14.3,13.773523,14.783456
Global Heart,114,12.0,3.0,39.0,8.0,75.0,4.0,10.5,2.6,19.886307483860683,19.80876762165805,19.964260096304976,17.4,17.376112,17.512509
Frontiers in Psychology,4285,445.0,96.0,2831.0,362.0,1454.0,83.0,10.4,2.2,548.0544361965359,530.8868892764395,566.6891293756447,12.8,12.389426,13.224951
Frontiers in Artificial Intelligence,414,43.0,30.0,242.0,37.0,172.0,6.0,10.4,7.2,63.29752066115702,56.43658194263321,72.02431971111456,15.3,13.632025,17.397179
Translational Oncology,496,51.0,25.0,2.0,0.0,494.0,51.0,10.3,5.0,78.2911452936957,77.78041606798767,78.80459316766212,15.8,15.681535,15.888023
Clinical and Experimental Medicine,290,30.0,17.0,290.0,30.0,0.0,0.0,10.3,5.9,30.0,,,10.3,,
Journal of Cell Science,145,15.0,24.0,1.0,0.0,144.0,15.0,10.3,16.6,22.821710369012514,22.672833833583454,22.971379384905553,15.7,15.636437,15.842331
Antibodies,116,12.0,1.0,63.0,10.0,53.0,2.0,10.3,0.9,18.41269841269841,14.694208639146872,24.210258040286295,15.9,12.667421,20.870912
Frontiers in Public Health,5387,549.0,54.0,3570.0,512.0,1817.0,37.0,10.2,1.0,772.7354260089686,752.5298599234952,794.3343642907029,14.3,13.969368,14.745394
International Journal of Biological Sciences,422,43.0,6.0,1.0,1.0,421.0,42.0,10.2,1.4,67.72180600940465,67.2865489162405,68.1593800072586,16.0,15.94468,16.151512
Plant Methods,255,26.0,43.0,255.0,26.0,0.0,0.0,10.2,16.9,26.0,,,10.2,,
Hepatology Communications,276,28.0,16.0,4.0,1.0,272.0,27.0,10.1,5.8,44.10767514146808,43.826463907879855,44.39038328259938,16.0,15.879154,16.083472
Pilot and Feasibility Studies,227,23.0,6.0,227.0,23.0,0.0,0.0,10.1,2.6,23.0,,,10.1,,
Autism,109,11.0,8.0,43.0,7.0,66.0,4.0,10.1,7.3,17.4599505857974,17.391715507059082,17.528548884748382,16.0,15.955702,16.081238
Soft Matter,308,31.0,32.0,275.0,26.0,33.0,5.0,10.1,10.4,31.2299752928987,31.19585775352954,31.26427444237419,10.1,10.128525,10.150738
Harm Reduction Journal,280,28.0,2.0,280.0,28.0,0.0,0.0,10.0,0.7,28.0,,,10.0,,
AIDS and Behavior,209,21.0,4.0,209.0,21.0,0.0,0.0,10.0,1.9,21.0,,,10.0,,
Frontiers in Neuroscience,1316,132.0,65.0,884.0,113.0,432.0,19.0,10.0,4.9,168.22171945701356,159.4036696390463,178.43111170032768,12.8,12.112741,13.558595
Sports Medicine - Open,121,12.0,11.0,121.0,12.0,0.0,0.0,9.9,9.1,12.0,,,9.9,,
Trials,950,94.0,50.0,950.0,94.0,0.0,0.0,9.9,5.3,94.0,,,9.9,,
Theranostics,555,55.0,8.0,0.0,0.0,555.0,55.0,9.9,1.4,87.95867538056906,87.38488040026955,88.53552471265682,15.8,15.745023,15.952347
Experimental and Therapeutic Medicine,377,37.0,14.0,297.0,37.0,80.0,0.0,9.8,3.7,47.666666666666664,44.83098331981655,51.32535815642373,12.6,11.891508,13.614153
International Journal of Epidemiology,115,11.0,7.0,51.0,7.0,64.0,4.0,9.6,6.1,15.784313725490197,11.359049812187344,23.46204949928424,13.7,9.877435,20.401782
Journal of Veterinary Science,104,10.0,0.0,96.0,10.0,8.0,0.0,9.6,0.0,10.833333333333334,10.460567295643038,11.44978670509413,10.4,10.058238,11.00941
Faraday Discussions,114,11.0,8.0,104.0,9.0,10.0,2.0,9.6,7.0,11.0,,,9.6,,
Oncology Letters,717,69.0,21.0,513.0,64.0,204.0,5.0,9.6,2.9,90.25316455696202,84.70693515486957,97.01732493466639,12.6,11.814077,13.531008
The Journal of Headache and Pain,281,27.0,12.0,281.0,27.0,0.0,0.0,9.6,4.3,27.0,,,9.6,,
Biology Open,188,18.0,10.0,2.0,0.0,186.0,18.0,9.6,5.3,29.478042559974497,29.285743701711958,29.671365038836342,15.7,15.577523,15.782641
JAC-Antimicrobial Resistance,232,22.0,11.0,103.0,13.0,129.0,9.0,9.5,4.7,29.281553398058254,22.709064348342174,39.32153047614567,12.6,9.78839,16.948936
Current Developments in Nutrition,201,19.0,7.0,0.0,0.0,201.0,19.0,9.5,3.5,31.855304056746633,31.64749722604357,32.064217058097334,15.8,15.745023,15.952347
Magnetic Resonance in Medicine,201,19.0,37.0,94.0,15.0,107.0,4.0,9.5,18.4,29.403846153846153,22.144172783893108,42.04272730492956,14.6,11.017001,20.91678
Cells,1812,173.0,18.0,1048.0,137.0,764.0,36.0,9.5,1.0,237.06500956022944,222.47071223863554,253.72263045229994,13.1,12.277633,14.002353
Frontiers in Reproductive Health,148,14.0,1.0,88.0,14.0,60.0,0.0,9.5,0.7,23.545454545454547,19.831888256979752,28.970188361894486,15.9,13.399924,19.574452
Journal of Enzyme Inhibition and Medicinal Chemistry,106,10.0,1.0,34.0,5.0,72.0,5.0,9.4,0.9,16.410855184506257,16.336416916791727,16.485689692452777,15.5,15.411714,15.552537
International Journal of Molecular Sciences,14269,1344.0,138.0,8262.0,997.0,6007.0,347.0,9.4,1.0,1721.1295129634118,1679.9908033200027,1764.3889776629603,12.1,11.773711,12.36519
Journal of Cellular and Molecular Medicine,913,85.0,46.0,452.0,68.0,461.0,17.0,9.3,5.0,137.35398230088498,123.52146428912064,153.90261284644578,15.0,13.529186,16.856803
Frontiers in Aging Neuroscience,723,67.0,13.0,476.0,53.0,247.0,14.0,9.3,1.8,80.50210084033614,74.27637589511124,88.26493940560465,11.1,10.273358,12.208152
Frontiers in Computational Neuroscience,140,13.0,16.0,98.0,11.0,42.0,2.0,9.3,11.4,15.714285714285715,13.681365772532473,18.97584306943388,11.2,9.772404,13.554174
BIO-PROTOCOL,396,37.0,51.0,2.0,0.0,394.0,37.0,9.3,12.9,62.4427353152148,62.03539257244361,62.85224637258881,15.8,15.665503,15.871779
Cognitive Neurodynamics,108,10.0,12.0,108.0,10.0,0.0,0.0,9.3,11.1,10.0,,,9.3,,
Journal of the Endocrine Society,261,24.0,2.0,155.0,21.0,106.0,3.0,9.2,0.8,35.549019607843135,30.7049626315755,42.276674893162834,13.6,11.764353,16.19796
Brazilian Journal of Biology,130,12.0,1.0,130.0,12.0,0.0,0.0,9.2,0.8,12.0,,,9.2,,
mAbs,130,12.0,4.0,61.0,6.0,69.0,6.0,9.2,3.1,12.78688524590164,12.0,19.69293559629127,9.8,9.230769,15.148412
Animals,4759,438.0,36.0,2748.0,317.0,2011.0,121.0,9.2,0.8,548.9821688500728,526.0349357028535,574.0890801561987,11.5,11.053476,12.063229
JOR Spine,119,11.0,7.0,55.0,8.0,64.0,3.0,9.2,5.9,17.30909090909091,12.837887370733938,24.743143736509914,14.5,10.788141,20.792558
The Journals of Gerontology Series A,100,9.0,5.0,64.0,7.0,36.0,2.0,9.0,5.0,11.344827586206897,9.14952048814948,15.23665322016337,11.3,9.14952,15.236653
European Child & Adolescent Psychiatry,144,13.0,14.0,144.0,13.0,0.0,0.0,9.0,9.7,13.0,,,9.0,,
BMC Geriatrics,1301,117.0,17.0,1301.0,117.0,0.0,0.0,9.0,1.3,117.0,,,9.0,,
Infection and Drug Resistance,769,69.0,8.0,318.0,43.0,451.0,26.0,9.0,1.0,103.98427672955975,88.9845219360478,122.91145173547261,13.5,11.571459,15.983284
Microbiology Resource Announcements,1162,105.0,41.0,3.0,3.0,1159.0,102.0,9.0,3.5,186.68307165059377,185.4848223133557,187.88769935489958,16.1,15.962549,16.169337
Reproductive Sciences,100,9.0,2.0,100.0,9.0,0.0,0.0,9.0,2.0,9.0,,,9.0,,
Veterinary Sciences,1047,93.0,7.0,547.0,63.0,500.0,30.0,8.9,0.7,120.6923076923077,108.61610696228938,135.45571590451445,11.5,10.374031,12.937509
BMC Psychiatry,1386,124.0,46.0,1386.0,124.0,0.0,0.0,8.9,3.3,124.0,,,8.9,,
OncoImmunology,148,13.0,4.0,57.0,5.0,91.0,8.0,8.8,2.7,13.0,13.0,22.240052333689864,8.8,8.783784,15.027062
Eurosurveillance,331,29.0,9.0,0.0,0.0,331.0,29.0,8.8,2.7,52.45823702877182,52.11602777025085,52.80226789169263,15.8,15.745023,15.952347
Influenza and Other Respiratory Viruses,194,17.0,6.0,81.0,14.0,113.0,3.0,8.8,3.1,33.53086419753086,25.9602676176956,44.44936162079118,17.3,13.381581,22.912042
Journal of Integrative Neuroscience,137,12.0,6.0,134.0,12.0,3.0,0.0,8.8,4.4,12.475452299354428,12.472350704866322,12.4785704038522,9.1,9.103906,9.108446
Plants,4653,404.0,31.0,2708.0,300.0,1945.0,104.0,8.7,0.7,515.7116451016636,493.75950622288644,539.8102942408985,11.1,10.611638,11.601339
Bioresources and Bioprocessing,149,13.0,3.0,149.0,13.0,0.0,0.0,8.7,2.0,13.0,,,8.7,,
Frontiers in Behavioral Neuroscience,183,16.0,9.0,122.0,13.0,61.0,3.0,8.7,4.9,19.553719008264462,16.89601363839833,23.685164430450513,10.7,9.232794,12.942713
International Journal of Obesity,128,11.0,8.0,128.0,11.0,0.0,0.0,8.6,6.2,11.0,,,8.6,,
Journal of Materials Chemistry B,116,10.0,5.0,97.0,9.0,19.0,1.0,8.6,4.3,12.011197895911373,11.991554464153372,12.030945891063928,10.4,10.337547,10.371505
Biomolecules,1543,133.0,25.0,890.0,97.0,653.0,36.0,8.6,1.6,168.32995495495496,156.01537051588477,182.8428249304815,10.9,10.111171,11.849827
Organic & Biomolecular Chemistry,105,9.0,0.0,92.0,5.0,13.0,4.0,8.6,0.0,9.0,,,8.6,,
The Journal of Physiology,162,14.0,11.0,93.0,13.0,69.0,1.0,8.6,6.8,23.823529411764707,18.636696862734716,32.32738879486827,14.7,11.504134,19.955178
Journal of Cancer Research and Clinical Oncology,588,50.0,38.0,588.0,50.0,0.0,0.0,8.5,6.5,50.0,,,8.5,,
Journal of NeuroEngineering and Rehabilitation,294,25.0,12.0,294.0,25.0,0.0,0.0,8.5,4.1,25.0,,,8.5,,
Frontiers in Global Women s Health,258,22.0,1.0,166.0,20.0,92.0,2.0,8.5,0.4,31.08433734939759,27.301300934870053,36.44686912476198,12.0,10.5819,14.126693
Animal Models and Experimental Medicine,117,10.0,1.0,53.0,5.0,64.0,5.0,8.5,0.9,11.037735849056604,10.0,17.96254443116892,9.4,8.547009,15.352602
Frontiers in Physiology,1126,95.0,31.0,752.0,85.0,374.0,10.0,8.4,2.8,127.7284946236559,119.91034554835605,137.02886510801824,11.3,10.649231,12.169526
Mediators of Inflammation,119,10.0,2.0,31.0,9.0,88.0,1.0,8.4,1.7,22.946600781063204,22.855620676078775,23.038065179664507,19.3,19.206404,19.359719
Proceedings of the Royal Society B Biological Sciences,489,41.0,39.0,0.0,0.0,489.0,41.0,8.4,8.0,77.49872479477166,76.99316489321048,78.00697582790845,15.8,15.745023,15.952347
HemaSphere,205,17.0,3.0,101.0,15.0,104.0,2.0,8.3,1.5,30.445544554455445,24.579980944196414,38.98996075833388,14.9,11.990235,19.019493
New Microbes and New Infections,169,14.0,2.0,0.0,0.0,169.0,14.0,8.3,1.2,26.783812863632743,26.60908970746947,26.95946608367388,15.8,15.745023,15.952347
Journal of Cachexia Sarcopenia and Muscle,351,29.0,12.0,192.0,23.0,159.0,6.0,8.3,3.4,42.046875,35.90498646808604,50.56044273592373,12.0,10.229341,14.404685
International Journal for Equity in Health,353,29.0,5.0,353.0,29.0,0.0,0.0,8.2,1.4,29.0,,,8.2,,
World Allergy Organization Journal,182,15.0,1.0,0.0,0.0,182.0,15.0,8.2,0.5,28.84410616083526,28.655942761890195,29.03327116703341,15.8,15.745023,15.952347
Cancer Science,364,30.0,5.0,186.0,21.0,178.0,9.0,8.2,1.4,41.42622950819673,34.57991960327932,51.0923932007215,11.4,9.499978,14.036372
Nanoscale,340,28.0,13.0,306.0,23.0,34.0,5.0,8.2,3.8,28.388459392683508,28.353307988484982,28.42379791032492,8.3,8.339208,8.359941
Orphanet Journal of Rare Diseases,642,52.0,11.0,642.0,52.0,0.0,0.0,8.1,1.7,52.0,,,8.1,,
Biology Letters,124,10.0,9.0,1.0,1.0,123.0,9.0,8.1,7.3,20.493544273531523,20.366378899519198,20.621386557940163,16.5,16.424499,16.63015
Nature and Science of Sleep,260,21.0,8.0,106.0,10.0,154.0,11.0,8.1,3.1,24.528301886792455,21.0,35.41037503979907,9.4,8.076923,13.619375
Journal of Xenobiotics,135,11.0,1.0,79.0,10.0,56.0,1.0,8.1,0.7,17.08860759493671,13.932985244607465,22.18367112127634,12.7,10.32073,16.432349
International Journal of Clinical and Health Psychology,149,12.0,12.0,0.0,0.0,149.0,12.0,8.1,8.1,23.61413086793656,23.460085008360654,23.76899672465922,15.8,15.745023,15.952347
Advanced Science,4305,347.0,121.0,1594.0,197.0,2711.0,150.0,8.1,2.8,530.688137755102,489.0830269059306,577.2878898582014,12.3,11.360814,13.409707
JNCI Cancer Spectrum,138,11.0,3.0,75.0,10.0,63.0,1.0,8.0,2.2,18.75,14.865268121227297,24.939440640191236,13.6,10.771933,18.072058
Frontiers in Health Services,199,16.0,2.0,124.0,16.0,75.0,0.0,8.0,1.0,25.67741935483871,22.075571370357665,30.951386990614036,12.9,11.093252,15.553461
Child and Adolescent Psychiatry and Mental Health,201,16.0,8.0,201.0,16.0,0.0,0.0,8.0,4.0,16.0,,,8.0,,
Neuro-Oncology Advances,225,18.0,18.0,132.0,13.0,93.0,5.0,8.0,8.0,22.229007633587784,18.479032311255622,28.102663545215968,9.9,8.212903,12.490073
BMC Women s Health,830,66.0,14.0,830.0,66.0,0.0,0.0,8.0,1.7,66.0,,,8.0,,
Journal of Eating Disorders,263,21.0,12.0,263.0,21.0,0.0,0.0,8.0,4.6,21.0,,,8.0,,
JACC Basic to Translational Science,100,8.0,2.0,0.0,0.0,100.0,8.0,8.0,2.0,15.848409978480912,15.745023495544064,15.952346795073302,15.8,15.745023,15.952347
Brain Communications,573,46.0,77.0,262.0,31.0,311.0,15.0,8.0,13.4,68.08076923076923,57.522338217036534,82.08762776255122,11.9,10.038802,14.325939
BMC Complementary Medicine and Therapies,557,44.0,9.0,557.0,44.0,0.0,0.0,7.9,1.6,44.0,,,7.9,,
European Journal of Public Health,214,17.0,7.0,125.0,16.0,89.0,1.0,7.9,3.3,27.392,23.15082423027848,33.607502272962705,12.8,10.818142,15.70444
PeerJ Computer Science,897,71.0,92.0,0.0,0.0,897.0,71.0,7.9,10.3,142.16023750697377,141.23286075503026,143.09255075180752,15.8,15.745023,15.952347
Toxins,600,47.0,6.0,347.0,34.0,253.0,13.0,7.8,1.0,58.861271676300575,52.00693485659565,67.94779208268201,9.8,8.667822,11.324632
International Journal of Cancer,166,13.0,12.0,71.0,10.0,95.0,3.0,7.8,7.2,25.055989479556867,24.95777232076686,25.15472945531964,15.1,15.034803,15.153451
Disease Models & Mechanisms,166,13.0,7.0,0.0,0.0,166.0,13.0,7.8,4.2,26.308360564278313,26.136739002603147,26.480895679821682,15.8,15.745023,15.952347
Proceedings of the National Academy of Sciences,4134,323.0,223.0,63.0,26.0,4071.0,297.0,7.8,5.4,1820.0,1334.8269980446228,2334.699506691093,44.0,32.288994,56.475557
BMC Chemistry,411,32.0,8.0,411.0,32.0,0.0,0.0,7.8,1.9,32.0,,,7.8,,
Journal of Inflammation Research,1175,92.0,25.0,576.0,62.0,599.0,30.0,7.8,2.1,126.58782608695653,112.9315301363257,143.36220687220995,10.8,9.611194,12.201039
Environmental Science & Technology,681,53.0,49.0,84.0,13.0,597.0,40.0,7.8,7.2,107.64634146341463,69.74783792035075,163.79064225709237,15.8,10.241973,24.051489
Frontiers in Bioengineering and Biotechnology,1342,104.0,27.0,935.0,92.0,407.0,12.0,7.7,2.0,132.04705882352943,124.93265464095798,140.49911318867376,9.8,9.309438,10.469383
Heliyon,16600,1278.0,450.0,7499.0,584.0,9101.0,694.0,7.7,2.7,1292.7590345379385,1278.0,1349.9474485605774,7.8,7.698795,8.132214
International Journal of Cardiology Cardiovascular Risk and Prevention,142,11.0,2.0,0.0,0.0,142.0,11.0,7.7,1.4,22.504742169442896,22.357933363672572,22.65233244900409,15.8,15.745023,15.952347
Neurotherapeutics,132,10.0,3.0,0.0,0.0,132.0,10.0,7.6,2.3,20.919901171594805,20.783431014118165,21.05709776949676,15.8,15.745023,15.952347
Biomedical Reports,223,17.0,2.0,151.0,16.0,72.0,1.0,7.6,0.9,23.944827586206898,20.97309336755139,28.364769165503887,10.7,9.404975,12.719627
Alzheimer s & Dementia,996,76.0,84.0,497.0,51.0,499.0,25.0,7.6,8.4,102.30846774193549,90.45776294755936,117.20562801469748,10.3,9.082105,11.767633
Frontiers in Chemistry,662,50.0,8.0,424.0,42.0,238.0,8.0,7.6,1.2,65.5754716981132,59.64078608799723,73.22379557026136,9.9,9.009182,11.060996
BMC Psychology,1309,98.0,43.0,1309.0,98.0,0.0,0.0,7.5,3.3,98.0,,,7.5,,
Veterinary World,399,30.0,6.0,0.0,0.0,399.0,30.0,7.5,1.5,63.23515581413884,62.822643747220816,63.64986371234247,15.8,15.745023,15.952347
Frontiers in Psychiatry,2334,174.0,36.0,1569.0,155.0,765.0,19.0,7.5,1.5,230.5736137667304,220.0175167103563,242.62902061419055,9.9,9.426629,10.395416
Journal of Autism and Developmental Disorders,213,16.0,10.0,213.0,16.0,0.0,0.0,7.5,4.7,16.0,,,7.5,,
Journal of Orthopaedic Translation,136,10.0,1.0,0.0,0.0,136.0,10.0,7.4,0.7,21.55383757073404,21.413231953939928,21.69519164129969,15.8,15.745023,15.952347
BMC Pregnancy and Childbirth,1345,99.0,21.0,1345.0,99.0,0.0,0.0,7.4,1.6,99.0,,,7.4,,
ACS Chemical Neuroscience,149,11.0,4.0,18.0,2.0,131.0,9.0,7.4,2.7,22.761417071809994,22.625980779162724,22.897574301546026,15.3,15.185222,15.3675
Infection Control and Hospital Epidemiology,176,13.0,3.0,143.0,12.0,33.0,1.0,7.4,1.7,14.329411764705883,13.080767056946028,16.803557403667018,8.1,7.432254,9.547476
MMWR Morbidity and Mortality Weekly Report,285,21.0,2.0,0.0,0.0,285.0,21.0,7.4,0.7,45.1679684386706,44.873316962300585,45.46418836595891,15.8,15.745023,15.952347
International Journal of COPD,329,24.0,3.0,119.0,19.0,210.0,5.0,7.3,0.9,52.52941176470588,40.97916691995504,68.54982651549354,16.0,12.455674,20.835814
British Journal Of Nutrition,219,16.0,4.0,191.0,16.0,28.0,0.0,7.3,1.8,17.666666666666668,16.719325103376125,19.692762108150077,8.1,7.634395,8.992129
Journal of the American Society for Mass Spectrometry,137,10.0,8.0,14.0,4.0,123.0,6.0,7.3,5.8,23.493544273531523,23.366378899519198,23.621386557940163,17.1,17.055751,17.241888
