journal,total_articles,open_data_articles,open_code_articles,pdf_covered,pdf_covered_od,xml_only,xml_only_od,open_data_pct,open_code_pct,corrected_od,ci_lo,ci_hi,corrected_pct,ci_lo_pct,ci_hi_pct
European Journal of Nuclear Medicine and Molecular Imaging,232,6.0,13.0,232.0,6.0,0.0,0.0,2.6,5.6,6.0,,,2.6,,
Dermatology and Therapy,267,7.0,7.0,267.0,7.0,0.0,0.0,2.6,2.6,7.0,,,2.6,,
Frontiers in Sports and Active Living,721,19.0,6.0,457.0,19.0,264.0,0.0,2.6,0.8,29.97592997811816,26.068648383382858,35.90093769565166,4.2,3.615624,4.979326
Digital Health,972,25.0,23.0,162.0,11.0,810.0,14.0,2.6,2.4,66.0,42.050859639279494,106.16413105063185,6.8,4.32622,10.922236
Journal of Endocrinological Investigation,115,3.0,3.0,115.0,3.0,0.0,0.0,2.6,2.6,3.0,,,2.6,,
Discover Nano,232,6.0,0.0,232.0,6.0,0.0,0.0,2.6,0.0,6.0,,,2.6,,
Journal of International Medical Research,541,14.0,10.0,143.0,9.0,398.0,5.0,2.6,1.8,34.048951048951054,22.317521086578033,54.88202999431458,6.3,4.125235,10.144553
Clinics in Orthopedic Surgery,154,4.0,0.0,142.0,4.0,12.0,0.0,2.6,0.0,4.338028169014084,4.132090764703181,4.84224851846431,2.8,2.683176,3.144317
Psychiatry Investigation,202,5.0,2.0,102.0,4.0,100.0,1.0,2.5,1.0,7.921568627450981,5.535382309543889,13.652657175875834,3.9,2.740288,6.758741
Journal of Clinical Neurology,119,3.0,0.0,108.0,3.0,11.0,0.0,2.5,0.0,3.3055555555555554,3.10440284736359,3.8635518313963706,2.8,2.608742,3.246682
Journal of Atherosclerosis and Thrombosis,119,3.0,3.0,5.0,0.0,114.0,3.0,2.5,2.5,18.06718737546824,17.94932678492023,18.185675346383565,15.2,15.083468,15.28208
Diagnostic Pathology,204,5.0,6.0,204.0,5.0,0.0,0.0,2.5,2.9,5.0,,,2.5,,
Lara D. Veeken,200,5.0,4.0,144.0,5.0,56.0,0.0,2.5,2.0,6.944444444444445,5.835549250018631,9.407424310873566,3.5,2.917775,4.703712
IBRO Neuroscience Reports,160,4.0,3.0,0.0,0.0,160.0,4.0,2.5,1.9,25.35745596556946,25.192037592870502,25.523754872117284,15.8,15.745023,15.952347
Chinese Medical Journal,435,11.0,10.0,2.0,0.0,433.0,11.0,2.5,2.3,68.62361520682235,68.1759517357058,69.0736616226674,15.8,15.672633,15.879003
