journal,n_corpus,n_xml,n_pdf_now,h2h_now,h2h_projected,crossed_50,still_short_50
Pakistan Journal of Medical Sciences,616,616.0,181.0,181.0,221.0,False,False
Emerging infectious diseases,615,615.0,2.0,2.0,2.0,False,True
Indian Journal of Ophthalmology,615,615.0,0.0,0.0,0.0,False,True
Translational Psychiatry,611,611.0,493.0,493.0,611.0,False,False
Journal of Education and Health Promotion,610,610.0,0.0,0.0,0.0,False,True
BMC Nephrology,609,609.0,451.0,451.0,609.0,False,False
Small,607,446.0,170.0,9.0,120.0,True,False
Stem Cell Research & Therapy,606,605.0,426.0,425.0,605.0,False,False
Drug Design Development and Therapy,602,602.0,147.0,147.0,243.0,False,False
Veterinary Medicine and Science,600,600.0,31.0,31.0,273.0,True,False
Toxins,600,599.0,132.0,131.0,346.0,False,False
Journal of Cancer,600,600.0,0.0,0.0,0.0,False,True
Ultrasonics Sonochemistry,599,599.0,0.0,0.0,0.0,False,True
Surgical Neurology International,598,598.0,0.0,0.0,0.0,False,True
American Journal of Case Reports,595,595.0,0.0,0.0,0.0,False,True
EFSA Journal,594,593.0,45.0,44.0,315.0,True,False
BMC Primary Care,590,590.0,466.0,466.0,590.0,False,False
International Wound Journal,590,589.0,46.0,45.0,433.0,True,False
Journal of Cancer Research and Clinical Oncology,588,586.0,493.0,491.0,586.0,False,False
Arthroscopy Techniques,586,586.0,0.0,0.0,0.0,False,True
npj Digital Medicine,585,585.0,381.0,381.0,585.0,False,False
Frontiers in Human Neuroscience,581,581.0,302.0,302.0,385.0,False,False
BMC Surgery,576,576.0,440.0,440.0,576.0,False,False
National Science Review,575,575.0,0.0,0.0,355.0,True,False
Computational and Structural Biotechnology Journal,575,575.0,1.0,1.0,1.0,False,True
Brain Communications,573,571.0,4.0,2.0,260.0,True,False
Respiratory Research,572,572.0,438.0,438.0,572.0,False,False
SAGE Open Medical Case Reports,569,569.0,0.0,0.0,146.0,True,False
Lipids in Health and Disease,566,566.0,424.0,424.0,566.0,False,False
BDJ,564,57.0,548.0,41.0,56.0,True,False
BMC Medical Informatics and Decision Making,564,564.0,444.0,444.0,564.0,False,False
Asian Pacific Journal of Cancer Prevention,564,564.0,0.0,0.0,0.0,False,True
Pan African Medical Journal,560,560.0,0.0,0.0,0.0,False,True
Analytical Chemistry,558,557.0,2.0,1.0,60.0,True,False
Redox Biology,558,558.0,0.0,0.0,0.0,False,True
BMC Complementary Medicine and Therapies,557,557.0,412.0,412.0,557.0,False,False
Theranostics,555,555.0,0.0,0.0,0.0,False,True
Applied Microbiology and Biotechnology,551,495.0,472.0,416.0,495.0,False,False
JACS Au,550,550.0,1.0,1.0,69.0,True,False
Inorganic Chemistry,550,548.0,2.0,0.0,59.0,True,False
Journal of Neurosurgery Case Lessons,544,544.0,0.0,0.0,0.0,False,True
Frontiers in Molecular Biosciences,543,536.0,258.0,251.0,332.0,False,False
Journal of International Medical Research,541,541.0,0.0,0.0,159.0,True,False
Physical Chemistry Chemical Physics,539,114.0,489.0,64.0,70.0,False,False
World Journal of Gastrointestinal Surgery,537,537.0,0.0,0.0,0.0,False,True
Bioactive Materials,536,536.0,0.0,0.0,0.0,False,True
Cell Reports Medicine,535,535.0,8.0,8.0,218.0,True,False
Internal Medicine,532,494.0,42.0,4.0,8.0,False,True
Human Vaccines & Immunotherapeutics,527,527.0,0.0,0.0,246.0,True,False
BMC Bioinformatics,526,526.0,410.0,410.0,526.0,False,False
Open Veterinary Journal,523,523.0,0.0,0.0,0.0,False,True
Journal of Pain Research,523,523.0,162.0,162.0,250.0,False,False
Nano Letters,521,483.0,39.0,1.0,49.0,False,True
JACC Advances,519,519.0,1.0,1.0,1.0,False,True
Malaria Journal,517,517.0,397.0,397.0,517.0,False,False
BMC Medical Imaging,511,511.0,370.0,370.0,511.0,False,False
Annals of Surgical Oncology,511,368.0,460.0,317.0,368.0,False,False
Clinical ophthalmology,510,510.0,177.0,177.0,241.0,False,False
Biomedical Optics Express,508,508.0,1.0,1.0,1.0,False,True
Diabetes Metabolic Syndrome and Obesity,507,507.0,129.0,129.0,192.0,False,False
Translational Vision Science & Technology,506,506.0,1.0,1.0,1.0,False,True
Cancer Cell International,503,503.0,379.0,379.0,503.0,False,False
Translational Oncology,496,496.0,2.0,2.0,2.0,False,True
ESC Heart Failure,495,488.0,63.0,56.0,263.0,False,False
Light Science & Applications,490,490.0,348.0,348.0,490.0,False,False
Proceedings of the Royal Society B Biological Sciences,489,489.0,0.0,0.0,0.0,False,True
European Journal of Neurology,488,488.0,41.0,41.0,253.0,True,False
Chemistry - A European Journal,485,358.0,149.0,22.0,202.0,True,False
World Journal of Gastrointestinal Oncology,484,484.0,0.0,0.0,0.0,False,True
Nanophotonics,483,483.0,290.0,290.0,321.0,False,False
Dentistry Journal,481,481.0,87.0,87.0,281.0,False,False
Neural Regeneration Research,480,480.0,1.0,1.0,1.0,False,True
Journal of Virology,480,476.0,5.0,1.0,9.0,False,True
World Journal of Surgical Oncology,480,480.0,342.0,342.0,480.0,False,False
mSystems,479,479.0,2.0,2.0,3.0,False,True
BMJ Global Health,470,470.0,0.0,0.0,0.0,False,True
Journal of Cosmetic Dermatology,470,429.0,53.0,12.0,151.0,True,False
Communications Medicine,467,467.0,298.0,298.0,467.0,False,False
Canadian Medical Association Journal,465,465.0,0.0,0.0,0.0,False,True
World Journal of Gastroenterology,464,464.0,0.0,0.0,0.0,False,True
The Journal of Physical Chemistry Letters,463,447.0,18.0,2.0,60.0,True,False
Human Brain Mapping,462,462.0,29.0,29.0,228.0,True,False
eNeuro,461,461.0,2.0,2.0,2.0,False,True
Genome biology,459,459.0,318.0,318.0,459.0,False,False
PLoS Genetics,458,457.0,216.0,215.0,457.0,False,False
Preventive Medicine Reports,457,457.0,0.0,0.0,0.0,False,True
Virology Journal,457,455.0,323.0,321.0,455.0,False,False
Cancer Immunology Immunotherapy,456,454.0,321.0,319.0,454.0,False,False
ACG Case Reports Journal,456,455.0,1.0,0.0,0.0,False,True
Diabetology & Metabolic Syndrome,456,456.0,308.0,308.0,456.0,False,False
Health Expectations,455,455.0,28.0,28.0,233.0,True,False
Supportive Care in Cancer,453,411.0,322.0,280.0,411.0,False,False
Clinical Kidney Journal,452,452.0,0.0,0.0,284.0,True,False
Horticulture Research,452,452.0,0.0,0.0,264.0,True,False
Communications Chemistry,451,451.0,328.0,328.0,451.0,False,False
Mitochondrial DNA Part B,451,451.0,0.0,0.0,202.0,True,False
GeroScience,449,259.0,406.0,216.0,259.0,False,False
BMJ Public Health,449,449.0,0.0,0.0,1.0,False,True
Advanced Materials,447,310.0,143.0,6.0,83.0,True,False
Medical Science Monitor,447,447.0,0.0,0.0,0.0,False,True
Molecular Medicine,445,445.0,286.0,286.0,445.0,False,False
Journal of Neuroinflammation,443,443.0,331.0,331.0,443.0,False,False
Journal of Applied Clinical Medical Physics,442,439.0,50.0,47.0,241.0,True,False
npj Precision Oncology,441,441.0,303.0,303.0,441.0,False,False
Microbial Cell Factories,439,439.0,355.0,355.0,439.0,False,False
mSphere,438,438.0,0.0,0.0,1.0,False,True
