funder_name,country,total_articles,open_data_articles,open_code_articles,open_data_pct,open_code_pct,funder_type,funder_id,is_alias_group
Soochow University,China,115,13,4,11.3,3.5,,F4320324720,False
Jilin Scientific and Technological Development Program,China,115,13,3,11.3,2.6,,F4320335953,False
Science and Technology Program of Suzhou,China,366,41,22,11.2,6.0,,F4320336618,False
Technische Universität München,Germany,402,45,45,11.2,11.2,,F4320323383,False
Southern Medical University,China,116,13,7,11.2,6.0,,F4320326228,False
"Ministry of Higher Education, Malaysia",Malaysia,170,19,10,11.2,5.9,,F4320321709,False
Division of Materials Research,USA,564,63,46,11.2,8.2,,F4320337367,False
Zhengzhou University,China,134,15,3,11.2,2.2,,F4320322766,False
"National Commission for Scientific and Technological Research (CONICYT, Chile)",CL,169,19,4,11.2,2.4,,F4320334812,False
Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior,Brazil,3055,341,113,11.2,3.7,government,F4320321091,True
Natural Science Foundation of Hubei Province,China,573,64,14,11.2,2.4,,F4320322186,False
National Research Centre,EG,396,44,2,11.1,0.5,,F4320310077,False
Department of Education of Guangdong Province,China,126,14,5,11.1,4.0,,F4320326279,False
Beijing Xisike Clinical Oncology Research Foundation,China,108,12,7,11.1,6.5,,F4320318548,False
Università degli Studi di Firenze,Italy,118,13,6,11.0,5.1,,F4320322648,False
Beijing Municipal Science and Technology Commission,China,146,16,9,11.0,6.2,,F4320325902,False
"Division of Chemical, Bioengineering, Environmental, and Transport Systems",USA,255,28,21,11.0,8.2,,F4320337390,False
Euskal Herriko Unibertsitatea,Spain,137,15,2,10.9,1.5,,F4320321919,False
Styrelsen för Internationellt Utvecklingssamarbete,Sweden,183,20,14,10.9,7.7,,F4320307875,False
Science and Technology Program of Hunan Province,China,202,22,4,10.9,2.0,,F4320330206,False
Minas Gerais Research Foundation (FAPEMIG),Brazil,423,46,19,10.9,4.5,,F4320322980,False
Roche,Switzerland,110,12,7,10.9,6.4,,F4320307779,False
Manchester Biomedical Research Centre,UK,184,20,17,10.9,9.2,,F4320333687,False
Hjärt-Lungfonden,Sweden,279,30,16,10.8,5.7,,F4320322169,False
Linköpings Universitet,Sweden,268,29,14,10.8,5.2,,F4320322225,False
Anhui Provincial Key Research and Development Plan,China,103,11,2,10.7,1.9,,F4320336578,False
Universidade de Macau,MO,112,12,10,10.7,8.9,,F4320322841,False
Humanities Research Council,UK,131,14,8,10.7,6.1,government,F4320334609,True
Natural Science Foundation of Hainan Province,China,356,38,7,10.7,2.0,,F4320322866,False
AstraZeneca Pharma Poland,Poland,168,18,12,10.7,7.1,,F4320328295,False
Key Research and Development Program of Ningxia,China,123,13,7,10.6,5.7,,F4320334010,False
Qatar University,QA,132,14,1,10.6,0.8,,F4320322472,False
VIT University,India,172,18,5,10.5,2.9,,F4320322838,False
Inyuvesi Yakwazulu-Natali,South Africa,105,11,8,10.5,7.6,,F4320322812,False
Assiut University,EG,133,14,0,10.5,0.0,,F4320325647,False
World Health Organization,Switzerland,413,43,20,10.4,4.8,,F4320307856,False
ZonMw,Netherlands,928,96,70,10.3,7.5,,F4320321007,False
Public Health Agency,UK,155,16,19,10.3,12.3,government,F4320320853,True
Mahidol University,Thailand,466,48,11,10.3,2.4,,F4320322401,False
Natural Science Foundation of Shanxi Province,China,155,16,3,10.3,1.9,,F4320322666,False
Mitacs,Canada,214,22,17,10.3,7.9,,F4320322675,False
Natural Science Foundation of Hunan Province,China,876,89,27,10.2,3.1,,F4320322843,False
Natural Science Foundation of Xinjiang,China,177,18,3,10.2,1.7,,F4320328898,False
Seoul National University,Korea,366,37,32,10.1,8.7,,F4320321292,False
Innovative Research Group Project of the National Natural Science Foundation of China,China,328,33,10,10.1,3.0,,F4320315254,False
"Ministerio de Ciencia, Tecnología e Innovación Productiva",AR,130,13,5,10.0,3.8,,F4320321664,False
Hartstichting,Netherlands,120,12,7,10.0,5.8,,F4320321642,False
Chongqing Municipal Education Commission,China,120,12,2,10.0,1.7,,F4320324805,False
Javna Agencija za Raziskovalno Dejavnost RS,SI,613,61,30,10.0,4.9,,F4320322554,False
Peking Union Medical College Hospital,China,190,19,8,10.0,4.2,,F4320324962,False
