funder_name,country,total_articles,open_data_articles,open_code_articles,open_data_pct,open_code_pct,funder_type,funder_id,is_alias_group,pdf_covered,xml_only,aggregated_works_count,corrected_od,corrected_pct,ci_lo_pct,ci_hi_pct
Northern Arizona University,USA,187,41,13,21.9,7.0,,F4320310831,False,3,184,1992,41.0,21.9,21.9,21.9
Comisión Sectorial de Investigación Científica,UY,284,62,12,21.8,4.2,,F4320335090,False,10,274,1731,62.0,21.8,21.8,21.8
American Museum of Natural History,USA,441,96,26,21.8,5.9,,F4320308760,False,15,426,4132,96.0,21.8,21.8,21.8
"Ministry of Agriculture, Forestry and Fisheries",Japan,805,175,19,21.7,2.4,,F4320322266,False,11,794,8074,175.0,21.7,21.7,21.7
Leon Levy Foundation,USA,143,31,19,21.7,13.3,,F4320309445,False,10,133,538,31.0,21.7,21.7,21.7
Shanxi Agricultural University,China,323,70,3,21.7,0.9,,F4320328120,False,25,298,1169,70.0,21.7,21.7,21.7
"Eli and Edythe Broad Center of Regenerative Medicine and Stem Cell Research, University of California Los Angeles",USA,120,26,7,21.7,5.8,,F4320337596,False,3,117,390,26.0,21.7,21.7,21.7
NHLBI Division of Intramural Research,USA,1794,389,94,21.7,5.2,,F4320338421,False,613,1181,5188,389.0,21.7,21.7,21.7
Science and Technology Major Project of Guangxi,China,290,63,3,21.7,1.0,,F4320335965,False,31,259,1747,63.0,21.7,21.7,21.7
Animal and Plant Health Inspection Service,USA,695,151,40,21.7,5.8,,F4320332778,False,32,663,5270,151.0,21.7,21.7,21.7
Conseil Régional de La Réunion,RE,106,23,7,21.7,6.6,,F4320326215,False,3,103,395,23.0,21.7,21.7,21.7
Western Canada Research Grid,Canada,175,38,18,21.7,10.3,,F4320314005,False,3,172,2434,38.0,21.7,21.7,21.7
Kay Kendall Leukaemia Fund,UK,240,52,19,21.7,7.9,,F4320320104,False,9,231,724,52.0,21.7,21.7,21.7
Canadian Light Source,Canada,306,66,4,21.6,1.3,,F4320310580,False,10,296,1513,66.0,21.6,21.6,21.6
Muséum National d'Histoire Naturelle,France,888,192,31,21.6,3.5,,F4320324506,False,21,867,7788,192.0,21.6,21.6,21.6
Alvin J. Siteman Cancer Center,USA,375,81,25,21.6,6.7,,F4320315130,False,15,360,1533,81.0,21.6,21.6,21.6
Conseil Régional du Centre-Val de Loire,France,102,22,1,21.6,1.0,,F4320325797,False,0,102,481,22.0,21.6,21.6,21.6
Science and Technology Research Partnership for Sustainable Development,Japan,482,104,9,21.6,1.9,,F4320338125,False,17,465,3046,104.0,21.6,21.6,21.6
