pmid,pmcid,doi,oddpub_category,text_source,char_len
38992038,PMC11239927,10.1038/s41597-024-03598-1,upon request,mineru_md,39253
38997300,PMC11245481,10.1038/s41597-024-03447-1,supplement,mineru_md,80021
39003329,PMC11246469,10.1038/s41597-024-03615-3,,mineru_md,44190
39013864,PMC11252290,10.1038/s41597-024-03616-2,github,mineru_md,59738
39030186,PMC11271596,10.1038/s41597-024-03597-2,"re-use, upon request",mineru_md,71553
39033167,PMC11271311,10.1038/s41597-024-03649-7,unknown/misspecified source,mineru_md,54819
39043651,PMC11266348,10.1038/s41597-024-03641-1,,mineru_md,29733
39048571,PMC11269682,10.1038/s41597-024-03599-0,"re-use, unknown/misspecified source",mineru_md,60994
39048632,PMC11269697,10.1038/s41597-024-03652-y,,mineru_md,41871
39068189,PMC11283562,10.1038/s41597-024-03661-x,github,mineru_md,57248
39095370,PMC11297143,10.1038/s41597-024-03629-x,re-use,mineru_md,71036
39095400,PMC11297319,10.1038/s41597-024-03690-6,supplement,mineru_md,41317
39095466,PMC11297035,10.1038/s41597-024-03692-4,"supplement, unknown/misspecified source",mineru_md,31143
39097645,PMC11298006,10.1038/s41597-024-03685-3,unknown/misspecified source,mineru_md,45415
39103380,PMC11300709,10.1038/s41597-024-03499-3,"supplement, re-use, unknown/misspecified source",mineru_md,47061
39117701,PMC11310308,10.1038/s41597-024-03696-0,,mineru_md,38610
39122728,PMC11316086,10.1038/s41597-024-03705-2,"unknown/misspecified source, supplement, upon request",mineru_md,43347
39127738,PMC11316825,10.1038/s41597-024-03688-0,github,mineru_md,53133
39127752,PMC11316760,10.1038/s41597-024-03729-8,supplement,mineru_md,71227
39127755,PMC11316751,10.1038/s41597-024-03730-1,,mineru_md,26903
39138206,PMC11322156,10.1038/s41597-024-03740-z,"supplement, re-use",mineru_md,43947
39143093,PMC11325024,10.1038/s41597-024-03701-6,,mineru_md,37158
39143096,PMC11324883,10.1038/s41597-024-03743-w,github,mineru_md,69477
39143100,PMC11324878,10.1038/s41597-024-03668-4,unknown/misspecified source,mineru_md,55948
39147838,PMC11327260,10.1038/s41597-024-03725-y,,mineru_md,38123
39154076,PMC11330530,10.1038/s41597-024-03679-1,unknown/misspecified source,mineru_md,58741
39168996,PMC11339374,10.1038/s41597-024-03710-5,,mineru_md,35837
39179565,PMC11344052,10.1038/s41597-024-03750-x,unknown/misspecified source,mineru_md,80021
39181910,PMC11344804,10.1038/s41597-024-03759-2,github,mineru_md,51176
39191780,PMC11350142,10.1038/s41597-024-03732-z,upon request,mineru_md,35175
39191783,PMC11349881,10.1038/s41597-024-03611-7,"supplement, github, unknown/misspecified source",mineru_md,80021
39198456,PMC11358401,10.1038/s41597-024-03775-2,"supplement, re-use",mineru_md,35210
39209861,PMC11362277,10.1038/s41597-024-03780-5,"supplement, unknown/misspecified source",mineru_md,43097
39214994,PMC11364547,10.1038/s41597-024-03742-x,unknown/misspecified source,mineru_md,65244
39227607,PMC11372175,10.1038/s41597-024-03766-3,github,mineru_md,69712
39232019,PMC11375007,10.1038/s41597-024-03809-9,,mineru_md,36393
39237546,PMC11377692,10.1038/s41597-024-03806-y,github,mineru_md,50270
39237569,PMC11377829,10.1038/s41597-024-03828-6,"github, unknown/misspecified source",mineru_md,22804
39237577,PMC11377815,10.1038/s41597-024-03613-5,unknown/misspecified source,mineru_md,80021
39242603,PMC11379710,10.1038/s41597-024-03832-w,,mineru_md,42570
39242622,PMC11379903,10.1038/s41597-024-03807-x,github,mineru_md,35547
39244573,PMC11380675,10.1038/s41597-024-03682-6,,mineru_md,49908
39244605,PMC11380660,10.1038/s41597-024-03776-1,"github, unknown/misspecified source",mineru_md,42845
39256407,PMC11387611,10.1038/s41597-024-03751-w,,mineru_md,67564
39256465,PMC11387623,10.1038/s41597-024-03687-1,,mineru_md,80021
39266559,PMC11393081,10.1038/s41597-024-03822-y,supplement,mineru_md,49061
39284828,PMC11405776,10.1038/s41597-024-03831-x,github,mineru_md,80021
39289364,PMC11408678,10.1038/s41597-024-03820-0,github,mineru_md,34776
39289384,PMC11408525,10.1038/s41597-024-03825-9,,mineru_md,80021
39294160,PMC11411096,10.1038/s41597-024-03650-0,,mineru_md,70729
39294170,PMC11410942,10.1038/s41597-024-03857-1,"supplement, upon request",mineru_md,43034
39300127,PMC11412993,10.1038/s41597-024-03814-y,,mineru_md,34303
39300134,PMC11413193,10.1038/s41597-024-03862-4,github,mineru_md,35298
39300149,PMC11413188,10.1038/s41597-024-03874-0,,mineru_md,38136
39333090,PMC11436697,10.1038/s41597-024-03872-2,,mineru_md,41978
39333157,PMC11437015,10.1038/s41597-024-03873-1,github,mineru_md,44954
39333175,PMC11436766,10.1038/s41597-024-03880-2,,mineru_md,24371
39333541,PMC11436824,10.1038/s41597-024-03878-w,supplement,mineru_md,68220
39333547,PMC11436872,10.1038/s41597-024-03821-z,unknown/misspecified source,mineru_md,56179
39333553,PMC11437025,10.1038/s41597-024-03716-z,upon request,mineru_md,38798
39333635,PMC11437203,10.1038/s41597-024-03881-1,github,mineru_md,54233
39333639,PMC11437106,10.1038/s41597-024-03877-x,,mineru_md,57759
39341807,PMC11439064,10.1038/s41597-024-03886-w,github,mineru_md,44646
39353923,PMC11445235,10.1038/s41597-024-03893-x,,mineru_md,38533
39358422,PMC11447120,10.1038/s41597-024-03892-y,,mineru_md,53412
39362909,PMC11449991,10.1038/s41597-024-03887-9,,mineru_md,51763
39368991,PMC11455946,10.1038/s41597-024-03907-8,"upon request, unknown/misspecified source",mineru_md,42300
